SpaceID,BlockFace,MeterType,RateType,RateRange,MeteredTimeLimit,Lat,Long
WF248,8000 W 3RD ST,Single-Space,FLAT,$1.00 ,2HR,34.071934,-118.365068
LM678,200 S LA BREA AVE,Single-Space,FLAT,$1.00 ,2HR,34.070136,-118.343895
LT170,101 S SAN PEDRO ST,Single-Space,TOD,$3.00 - $4.00,15MIN,34.05002,-118.241314
CB3748,501 S LOS ANGELES ST,Single-Space,TOD,$3.00 - $4.00,2HR,34.045787,-118.247956
MV181,3801 S GRAND VIEW BLVD,Single-Space,FLAT,$1.00 ,1HR,34.004111,-118.430747
HW467,5600 W HOLLYWOOD BLVD,Single-Space,FLAT,$1.00 ,1HR,34.101623,-118.313359
MD889,1201 CUMMINGS ST,Single-Space,FLAT,$1.00 ,4HR,34.059375,-118.205366
WW258A,201 WESTERN AVE,Single-Space,FLAT,$1.00 ,1HR,34.070704,-118.309225
MD491,1601 ZONAL AVE,Single-Space,FLAT,$1.00 ,4HR,34.062099,-118.210467
CB3531,301 E 15TH ST,Single-Space,FLAT,$0.50 ,4HR,34.032988,-118.25957
SV691,7000 W DE LONGPRE AVE,Single-Space,TOD,$0.50 - $1.00,2HR,34.096105,-118.343668
CP200,21400 W SHERMAN WAY,Single-Space,FLAT,$1.00 ,2HR,34.200926,-118.598512
SS495,1800 S SAWTELLE BLVD,Single-Space,FLAT,$1.00 ,2HR,34.043531,-118.445781
WW2296,1201 FEDORA ST,Single-Space,FLAT,$1.00 ,2HR,34.047651,-118.297955
BF23,501 N FAIRFAX AVE,Single-Space,FLAT,$1.00 ,2HR,34.080609,-118.361562
VS346,4800 SUNSET BLVD,Single-Space,FLAT,$1.00 ,2HR,34.09803,-118.295385
SVV337,601 HELIOTROPE DR,Single-Space,FLAT,$1.00 ,2HR,34.083216,-118.295407
WS80,10801 W ROCHESTER AVE,Single-Space,FLAT,$1.00 ,2HR,34.056319,-118.441865
BH367,2401 1ST ST,Single-Space,FLAT,$1.00 ,1HR,34.043516,-118.209129
VN195,6451 N VAN NUYS BLVD,Single-Space,FLAT,$1.00 ,2HR,34.188218,-118.448868
HW248,1601 N ALEXANDRIA AVE,Single-Space,FLAT,$1.00 ,1HR,34.101492,-118.298402
WB391,1800 S HOPE ST,Single-Space,FLAT,$0.50 ,4HR,34.034006,-118.269156
LM849,6700 W MELROSE AVE,Single-Space,FLAT,$1.00 ,2HR,34.083371,-118.339923
SV630,7001 W SUNSET BLVD,Single-Space,FLAT,$0.50 ,2HR,34.09807,-118.342986
LM591,201 N FORMOSA AVE,Single-Space,FLAT,$1.00 ,2HR,34.075871,-118.346272
VW1604,2501 PICO BLVD,Single-Space,FLAT,$1.00 ,1HR,34.047333,-118.293941
VN316,14500 W FRIAR ST,Single-Space,FLAT,$1.00 ,2HR,34.185624,-118.449091
LT467,301 S ALAMEDA ST,Single-Space,FLAT,$0.50 ,4HR,34.045248,-118.238199
VN651A,14300 W DELANO ST,Single-Space,JUMP,$1.00/H - $4.00/10H,10HR,34.182569,-118.446
LC161,8400 W BEVERLY BLVD,Single-Space,FLAT,$1.00 ,2HR,34.075949,-118.373835
ED724,901 S STANFORD AVE,Single-Space,FLAT,$0.50 ,4HR,34.034121,-118.248556
CB3669,801 S MAIN ST,Single-Space,TOD,$1.00 - $6.00,2HR,34.042299,-118.254023
LM597,7100 W BEVERLY BLVD,Single-Space,FLAT,$1.00 ,1HR,34.076061,-118.345636
CB136A,1501 S HOPE ST,Single-Space,TOD,$1.50 - $2.00,4HR,34.036669,-118.267586
WA333,901 ALVARADO ST,Single-Space,FLAT,$1.00 ,1HR,34.053234,-118.278995
CB1374,1000 S HOPE ST,Single-Space,TOD,$0.50 - $2.00,4HR,34.043305,-118.261947
WW1263,3700 3RD ST,Single-Space,FLAT,$1.00 ,1HR,34.068937,-118.297574
C465,3100 FIGUEROA ST,Single-Space,FLAT,$1.00 ,1HR,34.023274,-118.278959
WA1430,2000 PICO BLVD,Single-Space,FLAT,$1.00 ,1HR,34.046778,-118.281861
CB949,100 E 8TH ST,Single-Space,TOD,$3.00 - $6.00,2HR,34.042422,-118.252986
HW253A,4900 W HOLLYWOOD BLVD,Single-Space,FLAT,$1.00 ,1HR,34.101682,-118.297685
SS34,1501 S CORINTH AVE,Single-Space,FLAT,$1.00 ,2HR,34.046432,-118.449902
WA331,801 ALVARADO ST,Single-Space,FLAT,$1.00 ,1HR,34.053875,-118.278584
VN15,6801 N VAN NUYS BLVD,Single-Space,FLAT,$1.00 ,2HR,34.196039,-118.448903
SP829,201 6TH ST,Single-Space,FLAT,$0.50 ,2HR,33.738688,-118.281974
CB2213A,800 S SAN JULIAN ST,Single-Space,TOD,$0.50 - $4.00,2HR,34.038595,-118.250493
SH274,1001 N LAS PALMAS AVE,Single-Space,FLAT,$1.00 ,4HR,34.08943,-118.33635
AE62,701 3RD ST,Single-Space,JUMP,$1.00/H - $4.00/10H,10HR,34.045752,-118.236831
WA403,900 ALVARADO ST,Single-Space,FLAT,$1.00 ,1HR,34.052615,-118.27916
WS494,1600 S PONTIUS AVE,Single-Space,FLAT,$1.00 ,1HR,34.048671,-118.445897
WP73,300 WASHINGTON BLVD,Single-Space,TOD,$0.50 - $1.00,2HR,33.980545,-118.464063
BF599,8301 W MELROSE AVE,Single-Space,FLAT,$1.00 ,2HR,34.083771,-118.370533
WS398,1800 S SEPULVEDA BLVD,Single-Space,FLAT,$1.00 ,1HR,34.045079,-118.441979
ED350,901 E PICO BLVD,Single-Space,FLAT,$0.50 ,2HR,34.031176,-118.250151
VN354,14500 W SYLVAN ST,Single-Space,TOD,$0.50 - $1.00,2HR,34.184586,-118.449922
CB1261,1200 S GRAND AVE,Single-Space,FLAT,$0.50 ,2HR,34.03965,-118.263638
WW1437,901 WESTERN AVE,Single-Space,FLAT,$1.00 ,1HR,34.055168,-118.309166
HO73,1600 N CHEROKEE AVE,Single-Space,TOD,$1.00 - $3.00,2HR,34.099913,-118.334961
PR474,8600 W PICO BLVD,Single-Space,FLAT,$1.00 ,1HR,34.053977,-118.380093
WU144A,1501 6TH ST,Single-Space,FLAT,$1.00 ,1HR,34.056855,-118.268578
WW1210,3801 6TH ST,Single-Space,FLAT,$1.00 ,1HR,34.06361,-118.307417
CB75,301 E OLYMPIC BLVD,Single-Space,TOD,$0.50 - $6.00,2HR,34.038556,-118.254213
WV268,1001 S WESTWOOD BLVD,Single-Space,TOD,$0.50 - $1.00,2HR,34.062007,-118.445514
CB455,1301 S SANTEE ST,Single-Space,TOD,$0.50 - $1.50,2HR,34.034688,-118.258723
VN134,14501 W HAYNES ST,Single-Space,FLAT,$0.50 ,2HR,34.189746,-118.450712
BF552,8101 W MELROSE AVE,Single-Space,FLAT,$1.00 ,2HR,34.083837,-118.366235
SA70,2100 SUNSET BLVD,Single-Space,FLAT,$1.00 ,2HR,34.077603,-118.265884
RA190,8701 W 3RD ST,Single-Space,FLAT,$2.00 ,2HR,34.073653,-118.383192
HO934A,1800 N CAHUENGA BLVD,Single-Space,TOD,$0.50 - $1.50,2HR,34.10484,-118.330016
VN506,14500 W ERWIN ST,Single-Space,TOD,$0.50 - $1.00,2HR,34.183587,-118.450131
WSV11,11400 N SAN VICENTE BLVD,Single-Space,FLAT,$1.00 ,2HR,34.051946,-118.460356
ED277,900 E 12TH ST,Single-Space,TOD,$0.50 - $1.00,4HR,34.031463,-118.248543
WF224,300 S LA JOLLA AVE,Single-Space,FLAT,$1.00 ,15MIN,34.072118,-118.367868
WF314,6301 W COLGATE AVE,Single-Space,FLAT,$1.00 ,1HR,34.069165,-118.361867
HW126,1501 N SERRANO AVE,Single-Space,FLAT,$1.00 ,1HR,34.098498,-118.307135
CP226,7201 N OWENSMOUTH AVE,Single-Space,FLAT,$1.00 ,2HR,34.202078,-118.601677
CC371,300 S OLIVE ST,Single-Space,TOD,$2.00 - $3.00,2HR,34.05108,-118.25122
WU1041,1000 INGRAHAM ST,Single-Space,FLAT,$1.00 ,4HR,34.051286,-118.262545
WV281A,1101 S WESTWOOD BLVD,Single-Space,TOD,$0.50 - $1.00,2HR,34.06021,-118.445319
BF685A,601 N LA JOLLA AVE,Single-Space,FLAT,$1.00 ,2HR,34.083398,-118.368057
WA875,650 PARK VIEW ST,Single-Space,FLAT,$1.00 ,2HR,34.058668,-118.280026
VS515A,4700 FOUNTAIN AVE,Single-Space,FLAT,$1.00 ,1HR,34.095454,-118.292769
LH286,100 AVENUE 24,Single-Space,FLAT,$1.00 ,2HR,34.075316,-118.216907
52214,1130 JEFFERSON BLVD,Multi-Space,FLAT,$1.00 ,4HR,34.025399,-118.289612
WF522,600 S SAN VICENTE BLVD,Single-Space,JUMP,$1.00/H - $4.00/10H,10HR,34.065439,-118.372731
PM214,3700 S MOTOR AVE,Single-Space,FLAT,$1.00 ,2HR,34.020928,-118.404171
HO282B,1501 N VINE ST,Single-Space,TOD,$0.50 - $1.50,2HR,34.098995,-118.32679
P144,15100 W SUNSET BLVD,Single-Space,FLAT,$1.00 ,2HR,34.045415,-118.523567
L95,100 N LARCHMONT BLVD,Single-Space,FLAT,$1.00 ,2HR,34.073798,-118.323514
LM350,7300 W MELROSE AVE,Single-Space,FLAT,$1.00 ,2HR,34.083465,-118.349231
VH158,2000 HILLHURST AVE,Single-Space,FLAT,$1.00 ,1HR,34.108255,-118.287318
CC793,201 N FREMONT AVE,Single-Space,TOD,$0.50 - $1.50,2HR,34.059111,-118.252506
WW602,650 ARDMORE AVE,Single-Space,FLAT,$1.00 ,2HR,34.060675,-118.301928
L37,201 N LARCHMONT BLVD,Single-Space,FLAT,$1.00 ,2HR,34.074735,-118.323759
WW1187,3701 6TH ST,Single-Space,FLAT,$1.00 ,30MIN,34.063626,-118.30434
ED482,700 S CERES AVE,Single-Space,JUMP,$0.50/H - $2.00/10H,10HR,34.035587,-118.245275
WB805,2301 S GRAND AVE,Single-Space,FLAT,$0.50 ,2HR,34.028705,-118.270964
CB2262,1200 S SAN JULIAN ST,Single-Space,TOD,$0.50 - $1.00,4HR,34.033507,-118.254952
61220,222 MAIN ST,Multi-Space,TOD,$0.50 - $1.50,2HR,33.997117,-118.478566
SL645,1301 GLENDALE BLVD,Single-Space,FLAT,$1.00 ,2HR,34.079205,-118.260397
CB3505,300 W 12TH ST,Single-Space,FLAT,$0.50 ,4HR,34.039609,-118.262598
LC398,400 N LA CIENEGA BLVD,Single-Space,FLAT,$1.00 ,2HR,34.078446,-118.376457
VW1976,2901 7TH ST,Single-Space,FLAT,$1.00 ,1HR,34.059867,-118.288527
SV607,1500 N LAS PALMAS AVE,Single-Space,TOD,$0.50 - $1.00,2HR,34.099515,-118.336258
SS599,12000 S OHIO AVE,Single-Space,FLAT,$1.00 ,1HR,34.040465,-118.46246
WA443,1800 8TH ST,Single-Space,FLAT,$1.00 ,1HR,34.05364,-118.275283
GA35A,3101 GLENDALE BLVD,Single-Space,FLAT,$1.00 ,2HR,34.116975,-118.262239
PB255,5700 W PICO BLVD,Single-Space,FLAT,$1.00 ,2HR,34.050662,-118.362788
VN914,14400 W FRIAR ST,Single-Space,TOD,$0.50 - $1.00,2HR,34.185625,-118.447167
LM457,301 N LA BREA AVE,Single-Space,FLAT,$1.00 ,2HR,34.077079,-118.344163
SA187,1900 RESERVOIR ST,Single-Space,FLAT,$1.00 ,2HR,34.078384,-118.261295
MM253,600 S RIDGELEY DR,Single-Space,FLAT,$1.00 ,2HR,34.062613,-118.350319
MM101B,700 S BURNSIDE AVE,Single-Space,FLAT,$1.00 ,2HR,34.062081,-118.34943
CB251A,1400 S HILL ST,Single-Space,FLAT,$0.50 ,4HR,34.035621,-118.263687
VN371,6251 N VAN NUYS BLVD,Single-Space,TOD,$0.50 - $1.00,2HR,34.183909,-118.448862
CC1177,401 S GRAND AVE,Single-Space,TOD,$3.00 - $4.00,2HR,34.051498,-118.252818
GA122,3200 GLENDALE BLVD,Single-Space,FLAT,$1.00 ,1HR,34.117659,-118.260936
WU1176,1100 8TH ST,Single-Space,JUMP,$1.00/H - $4.00/10H,10HR,34.049637,-118.265838
CC927,851 W CESAR E CHAVEZ BLVD,Single-Space,FLAT,$0.50 ,4HR,34.061925,-118.245253
CB1356,1100 S HOPE ST,Single-Space,TOD,$0.50 - $1.50,2HR,34.041086,-118.264017
VW585,600 WESTMORELAND AVE,Single-Space,FLAT,$1.00 ,1HR,34.062604,-118.288344
WB31,2000 S BROADWAY,Single-Space,FLAT,$0.50 ,4HR,34.030397,-118.266337
PR766,1200 S STEARNS DR,Single-Space,FLAT,$1.00 ,2HR,34.052551,-118.370888
CB1250,301 W PICO BLVD,Single-Space,FLAT,$0.50 ,4HR,34.038626,-118.26369
VN477,6301 N VESPER AVE,Single-Space,FLAT,$1.00 ,2HR,34.185881,-118.450965
WA481,600 PARK VIEW ST,Single-Space,FLAT,$1.00 ,2HR,34.060249,-118.278997
WV71A,10900 W LINDBROOK DR,Single-Space,TOD,$0.50 - $2.00,2HR,34.059374,-118.445251
RA115,400 S ROBERTSON BLVD,Single-Space,FLAT,$2.00 ,2HR,34.071523,-118.383675
VW1925,700 NEW HAMPSHIRE AVE,Single-Space,FLAT,$1.00 ,2HR,34.057963,-118.292812
WV232,10901 W WEYBURN AVE,Single-Space,TOD,$0.50 - $1.50,15MIN,34.062668,-118.446341
HW488,5500 W HOLLYWOOD BLVD,Single-Space,FLAT,$1.00 ,1HR,34.101641,-118.310314
WS516,1800 S PONTIUS AVE,Single-Space,FLAT,$1.00 ,2HR,34.044992,-118.442754
SL290,3301 SUNSET BLVD,Single-Space,FLAT,$1.00 ,2HR,34.086745,-118.275321
CC1208,301 S FIGUEROA ST,Single-Space,TOD,$4.00 - $5.00,2HR,34.054151,-118.255563
WA1518,1301 VALENCIA ST,Single-Space,FLAT,$1.00 ,2HR,34.043252,-118.275257
WA1231,300 ALVARADO ST,Single-Space,FLAT,$1.00 ,1HR,34.062275,-118.272999
CB3648,501 S SPRING ST,Single-Space,TOD,$4.00 - $5.00,2HR,34.046541,-118.25054
CB4329,100 W 12TH ST,Single-Space,TOD,$0.50 - $1.50,4HR,34.038373,-118.260681
WU638,1200 7TH ST,Single-Space,FLAT,$1.00 ,1HR,34.051895,-118.266926
YO37,5001 YORK BLVD,Single-Space,FLAT,$1.00 ,1HR,34.121504,-118.206579
WA186,500 ALVARADO ST,Single-Space,FLAT,$1.00 ,1HR,34.059926,-118.274495
CB2401,900 S SAN PEDRO ST,Single-Space,FLAT,$0.50 ,4HR,34.03604,-118.251475
CB3143A,201 E 6TH ST,Single-Space,TOD,$0.50 - $5.00,2HR,34.044271,-118.24833
CB1852,201 E WINSTON ST,Single-Space,TOD,$2.00 - $5.00,2HR,34.045695,-118.245576
SV376,1400 N COLE PL,Single-Space,TOD,$0.50 - $1.00,2HR,34.096609,-118.330207
WB402,1800 S HOPE ST,Single-Space,FLAT,$0.50 ,4HR,34.034278,-118.268977
CT417,201 W ALPINE ST,Single-Space,TOD,$0.50 - $1.50,2HR,34.062044,-118.237272
ED491A,700 S TOWNE AVE,Single-Space,TOD,$0.50 - $2.00,2HR,34.03741,-118.247288
SP645,300 6TH ST,Single-Space,FLAT,$0.75 ,2HR,33.738811,-118.284759
LT470,301 S ALAMEDA ST,Single-Space,FLAT,$0.50 ,4HR,34.04507,-118.238197
VW60A,3000 8TH ST,Single-Space,FLAT,$1.00 ,1HR,34.057665,-118.293413
MV120,12601 W NORTH VENICE BLVD,Single-Space,FLAT,$1.00 ,1HR,34.002201,-118.436878
MD493,1601 ZONAL AVE,Single-Space,FLAT,$1.00 ,4HR,34.062191,-118.210569
HW269,4901 W HOLLYWOOD BLVD,Single-Space,FLAT,$1.00 ,1HR,34.101852,-118.297647
WW546,651 KINGSLEY DR,Single-Space,FLAT,$1.00 ,2HR,34.059923,-118.303155
CT91,700 N BROADWAY,Single-Space,TOD,$0.50 - $2.00,2HR,34.060922,-118.238918
WP7,301 WASHINGTON BLVD,Single-Space,TOD,$0.50 - $1.00,2HR,33.980616,-118.464396
SP592,301 6TH ST,Single-Space,FLAT,$0.75 ,2HR,33.73869,-118.284188
CB1936,1601 S SANTEE ST,Single-Space,FLAT,$0.50 ,4HR,34.032226,-118.260712
ED135,1200 E 8TH ST,Single-Space,FLAT,$0.50 ,4HR,34.033781,-118.24362
56826,10460 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00 ,2HR,34.056063,-118.425648
LT426A,301 S CENTRAL AVE,Single-Space,FLAT,$0.50 ,4HR,34.045125,-118.23975
WW2571,4100 BEVERLY BLVD,Single-Space,FLAT,$1.00 ,2HR,34.076216,-118.299729
BF646,601 N KINGS ROAD,Single-Space,FLAT,$1.00 ,2HR,34.083241,-118.372261
ER1,5100 MAYWOOD AVE,Single-Space,FLAT,$1.00 ,2HR,34.139462,-118.211544
SP824,501 NELSON ST,Single-Space,FLAT,$0.50 ,2HR,33.738947,-118.285027
C962,3650 VERMONT AVE,Single-Space,FLAT,$1.00 ,4HR,34.02132,-118.291402
CB3056,301 E 4TH ST,Single-Space,TOD,$0.50 - $5.00,2HR,34.046301,-118.244142
WU634,700 HARTFORD AVE,Single-Space,FLAT,$1.00 ,2HR,34.051887,-118.267377
HW78,1401 N KINGSLEY DR,Single-Space,FLAT,$1.00 ,1HR,34.097766,-118.303212
CB2854,1500 S OLIVE ST,Single-Space,FLAT,$1.00 ,30MIN,34.035351,-118.265145
CB3944,300 E WINSTON ST,Single-Space,TOD,$0.50 - $6.00,2HR,34.045233,-118.244416
LH154,101 AVENUE 26,Single-Space,FLAT,$1.00 ,1HR,34.076563,-118.214901
CC1221A,300 S LOS ANGELES ST,Single-Space,TOD,$0.50 - $5.00,2HR,34.047712,-118.245371
CB3840,800 S SANTEE ST,Single-Space,TOD,$2.00 - $4.00,2HR,34.040355,-118.252844
WB20,2000 S BROADWAY,Single-Space,FLAT,$0.50 ,4HR,34.029798,-118.266731
WS127,10801 W WELLWORTH AVE,Single-Space,FLAT,$1.00 ,2HR,34.05718,-118.442132
VW1832,2401 PICO BLVD,Single-Space,FLAT,$1.00 ,1HR,34.047347,-118.289988
52416,620 JEFFERSON BLVD,Multi-Space,FLAT,$1.00 ,4HR,34.022558,-118.281684
BF466,300 N GARDNER ST,Single-Space,FLAT,$1.00 ,2HR,34.076411,-118.353159
SS465,1900 S SAWTELLE BLVD,Single-Space,FLAT,$1.00 ,2HR,34.041402,-118.443942
SG409,7101 W SUNSET BLVD,Single-Space,FLAT,$1.00 ,1HR,34.098074,-118.344905
WW1011,600 SERRANO AVE,Single-Space,FLAT,$1.00 ,1HR,34.061971,-118.306495
CB715,801 S MAPLE AVE,Single-Space,TOD,$3.00 - $4.00,2HR,34.040666,-118.251455
VN207,14501 W GILMORE ST,Single-Space,TOD,$0.50 - $1.00,2HR,34.187713,-118.449396
CB1240,1201 S OLIVE ST,Single-Space,FLAT,$0.50 ,4HR,34.039248,-118.262518
SG74,1401 N SIERRA BONITA AVE,Single-Space,FLAT,$1.00 ,2HR,34.097712,-118.353981
SV217,6500 W SUNSET BLVD,Single-Space,TOD,$0.50 - $1.00,2HR,34.097887,-118.332129
VN1187,5900 N VAN NUYS BLVD,Single-Space,FLAT,$1.00 ,2HR,34.177893,-118.448508
WA1035,1901 OLYMPIC BLVD,Single-Space,FLAT,$1.00 ,2HR,34.051032,-118.278052
WB107,2200 S HILL ST,Single-Space,TOD,$0.50 - $2.00,4HR,34.028974,-118.268617
CB2199,701 S SAN JULIAN ST,Single-Space,TOD,$0.50 - $6.00,2HR,34.039743,-118.24935
CC620,501 N HILL ST,Single-Space,FLAT,$0.50 ,4HR,34.057962,-118.2422
SH240,1000 N HIGHLAND AVE,Single-Space,FLAT,$1.00 ,2HR,34.089083,-118.338476
LM156,700 N LA BREA AVE,Single-Space,FLAT,$1.00 ,2HR,34.084769,-118.343931
